audit_version,audit_group,market_id,asset_symbol,question,treatment_verdict,treatment_action,review_priority,question_structure,required_probability_transform,requires_external_baseline,requires_path_aggregation,standalone_signal_role,current_family,recommended_family,economic_event_group,current_gemini_side,current_gemini_confidence,current_gemini_reason,recommended_polarity_treatment,recommended_probability_treatment,recommended_entry_treatment,recommended_exit_treatment,recommended_weighting,generalizable_edge,overfit_guard,polymarket_rule_summary,polymarket_end_date,polymarket_url,authority_source_url,api_source_url
polymarket-treatment-audit-2026-07-13,Non-Iran Geo,0x6ef8ef55a05e303a09b6fa1f2c00d18d4c98eb3d829b44db82a03be665ab901c,WEAT,Russia x Ukraine Ceasefire by Friday?,Mostly correct after controls,primary_controlled,High,substantive ceasefire deadline,probability_revision,False,False,primary_with_event_controls,geo,substantive geopolitical de-escalation,Russia x Ukraine Ceasefire by Friday,NO bullish,0.95,Continued conflict maintains wheat supply disruptions.,"A genuine mutually agreed ceasefire is a cleaner de-escalation signal than a meeting or plan. Commodity direction can be assigned from the fixed escalation channel, but magnitude remains regime-dependent.",Use signed probability change and time-to-deadline hazard; combine overlapping ceasefire deadlines into one latent de-escalation probability.,"Require that the full rules describe a substantive bilateral halt, not merely talks, intentions or a temporary unilateral pause.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,One conflict-phase economic event across deadlines and mapped commodities.,"Cross-market confirmation among ceasefire, agreement and operational-risk markets can estimate a latent de-escalation factor.",Predefine substantive-event criteria and conflict-level clustering; do not promote process events after they happen to work.,"This market will resolve to ""Yes"" if there is an official ceasefire agreement, defined as a publicly announced and mutually agreed halt in military engagement, between Russia and Ukraine by March 21, 2025, 11:59 PM ET. If the agreement is officially reached before the resolution date, this market will resolve to ""Yes,"" regardless of whether the ceasefire officially starts afterward. Any form of informal agreement will not...",2025-03-21T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-by-next-friday-mar-21/russia-x-ukraine-ceasefire-by-next-friday-mar-21,,https://gamma-api.polymarket.com/public-search?q=Russia+x+Ukraine+Ceasefire+by+Friday%3F+
polymarket-treatment-audit-2026-07-13,Other,0xb9e7c0780fa4e608021538ecadf5ea041407d4b6150d0563b994a3f058cf56d7,ABNB,Airbnb Nights and Seats Booked above 150 million in Q1?,Needs redesign,quarantine,High,company KPI threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,other,earnings-adjacent company KPI,Airbnb Nights and Seats Booked above 150 million in Q1,YES bullish,0.95,Higher bookings indicate strong platform activity and revenue for Airbnb.,Do not make YES automatically bullish. It is bullish only when the threshold is meaningfully above the ex-ante consensus/guidance distribution; an already expected number can be neutral or sell-the-news.,"Combine all sibling thresholds into an implied CDF/expected metric and measure revisions versus consensus, guidance and prior-quarter seasonality.",Enter only when the probability-implied metric meaningfully differs from a timestamped external expectation and the discrepancy survives a pre-specified materiality rule.,Use the exact earnings-release timestamp. For after-close releases the same-day close may be eligible; for pre-open releases the prior close is the endpoint.,One company-quarter-metric event; threshold ladders and dual share classes are not independent observations.,"The edge is the implied metric distribution and its revision, not the binary answer. Threshold ladders such as Robinhood 4.2/4.4M or CrowdStrike 225/250M are especially valuable together.","Use one formula across companies: standardized implied surprise relative to a frozen consensus/guidance value, with no company-specific thresholds.","This market will resolve to ""Yes"" if Airbnb's total nights and seats booked for the first fiscal quarter of 2026, as reported in its official company earnings materials, is above the listed amount. Otherwise, this market will resolve to ""No"". The specified metric will be considered as reported in the company's official earnings materials. Subsequent revisions will not be considered. If Airbnb's official earnings materials...",2026-05-07T00:00:00Z,https://polymarket.com/event/airbnb-nights-and-seats-booked-above-in-q1/airbnb-nights-and-seats-booked-above-150-million-in-q1,,https://gamma-api.polymarket.com/public-search?q=Airbnb+Nights+and+Seats+Booked+above+150+million+in+Q1%3F
polymarket-treatment-audit-2026-07-13,Other,0x07f2afc917576da649bf8992d49a1b57b0fb201289f5b9ef2bfee634ef90491d,AAPL,Will Apple launch a MacBook on February 19?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple February 19 product event,YES bullish,0.95,New product launches can boost sales and revenue.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for February 19: https://x.com/tim_cook/status/1890068457825394918 This market will resolve to ""Yes"" if Apple announces a new MacBook product during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the February 19 launch event is concluded. If this event does not...",2025-02-19T12:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-february-19/will-apple-launch-a-macbook-on-february-19,https://x.com/tim_cook/status/1890068457825394918,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+a+MacBook+on+February+19%3F
polymarket-treatment-audit-2026-07-13,Other,0x4408af6aaac9536da338809fcb1f13f959a0982164afb0c156cd0f3c2217c15a,AAPL,Will Apple launch an iPhone SE on February 19?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple February 19 product event,YES bullish,0.95,New product launches can boost sales and revenue.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for February 19: https://x.com/tim_cook/status/1890068457825394918 This market will resolve to ""Yes"" if Apple announces a new iPhone SE product during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the February 19 launch event is concluded. If this event does...",2025-02-19T12:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-february-19/will-apple-launch-an-iphone-se-on-february-19,https://x.com/tim_cook/status/1890068457825394918,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+an+iPhone+SE+on+February+19%3F
polymarket-treatment-audit-2026-07-13,Other,0xb47f3f992d20ec5fda355c35b89fc1c5907eb91640fcf79c7b5643fafb76426e,AAPL,Will Apple launch another iPhone on February 19?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple February 19 product event,YES bullish,0.95,New product launches can boost sales and revenue.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for February 19: https://x.com/tim_cook/status/1890068457825394918 This market will resolve to ""Yes"" if Apple announces any new iPhone product other than an iPhone SE during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the February 19 launch event is...",2025-02-19T12:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-february-19/will-apple-launch-another-iphone-on-february-19,https://x.com/tim_cook/status/1890068457825394918,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+another+iPhone+on+February+19%3F
polymarket-treatment-audit-2026-07-13,Other,0xea587ff4c34069959a6d3b681d41ff72845a2e575ef0ff6015e146c22d786e8f,AAPL,Will Apple launch an AirPods on September 9?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple September 9 product event,YES bullish,0.9,New product launch boosts sales.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for September 9, 2025, at 1 PM ET. (https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html) This market will resolve to ""Yes"" if Apple announces a new AirPods product during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the September 9...",2025-09-09T00:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-september-9/will-apple-launch-an-airpods-on-september-9-134-714-829,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+an+AirPods+on+September+9%3F
polymarket-treatment-audit-2026-07-13,Other,0xf2f103d9021c9e5ed74209bdced5f8e2115d80c51ee0de83e1a533b22ce21a9c,AAPL,Will Apple launch an Apple Watch on September 9?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple September 9 product event,YES bullish,0.9,New product launch drives sales and innovation.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for September 9, 2025, at 1 PM ET. (https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html) This market will resolve to ""Yes"" if Apple announces a new Apple Watch product during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the September...",2025-09-09T00:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-september-9/will-apple-launch-an-apple-watch-on-september-9,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+an+Apple+Watch+on+September+9%3F
polymarket-treatment-audit-2026-07-13,Other,0xac97fd77c8f1bd142b8a56cb6a03818a85eb8b648299ab4b61b1d6a222df0d97,AAPL,Will Apple launch an iPhone Air on September 9?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple September 9 product event,YES bullish,0.95,New product launch drives sales and innovation.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for September 9, 2025, at 1 PM ET. (https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html) This market will resolve to ""Yes"" if Apple announces an iPhone Air product during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not resolve to ""No"" until the September 9...",2025-09-09T00:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-september-9/will-apple-launch-an-iphone-air-on-september-9,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+an+iPhone+Air+on+September+9%3F
polymarket-treatment-audit-2026-07-13,Other,0x553f367e5b8fb86ebdc0ca3386c30a4ed7cdfae6adbcbdb33dd05e74afaaff6a,AAPL,Will Apple launch another iPhone on September 9?,Needs redesign,quarantine,Critical,product announcement bundle,probability_weighted_product_bundle,True,True,quarantined_until_transform_available,other,scheduled product-announcement bundle,Apple September 9 product event,YES bullish,0.9,New product launch drives sales and innovation.,"Announcement YES is not automatically bullish; expected products can be priced in, while unexpected mix, price or timing drives the surprise.","Use the vector of sibling product probabilities to infer the expected launch bundle and its revisions, not independent binary trades.",Trigger only on a material change in expected product mix versus a frozen external consensus; avoid single-product YES/NO polarity.,End before the scheduled event starts. Same-day closing prices after an intraday launch are post-event and invalid for H1.,One Apple launch event across all products.,"Measure novelty: probability-weighted product bundle, expected number of launches and disagreement across sibling markets.",One bundle-construction method for every multi-product event; no product-specific return rules.,"Apple has scheduled a launch event for September 9, 2025, at 1 PM ET. (https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html) This market will resolve to ""Yes"" if Apple announces any new iPhone product other than an iPhone SE or iPhone Air during this event. Otherwise, this market will resolve to ""No"". If multiple products are released, each relevant market may resolve to ""Yes"". This market may not...",2025-09-09T00:00:00Z,https://polymarket.com/event/what-product-will-apple-launch-on-september-9/will-apple-launch-an-other-iphone-on-september-9,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,https://gamma-api.polymarket.com/public-search?q=Will+Apple+launch+another+iPhone+on+September+9%3F
polymarket-treatment-audit-2026-07-13,Other,2271190,CRWD,Will CrowdStrike Q1 net new ARR be above $225M?,Needs redesign,quarantine,High,company KPI threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,other,earnings-adjacent company KPI,CrowdStrike Q1 net-new ARR distribution,YES bullish,0.95,Higher ARR indicates strong company growth.,Do not make YES automatically bullish. It is bullish only when the threshold is meaningfully above the ex-ante consensus/guidance distribution; an already expected number can be neutral or sell-the-news.,"Combine all sibling thresholds into an implied CDF/expected metric and measure revisions versus consensus, guidance and prior-quarter seasonality.",Enter only when the probability-implied metric meaningfully differs from a timestamped external expectation and the discrepancy survives a pre-specified materiality rule.,Use the exact earnings-release timestamp. For after-close releases the same-day close may be eligible; for pre-open releases the prior close is the endpoint.,One company-quarter-metric event; threshold ladders and dual share classes are not independent observations.,"The edge is the implied metric distribution and its revision, not the binary answer. Threshold ladders such as Robinhood 4.2/4.4M or CrowdStrike 225/250M are especially valuable together.","Use one formula across companies: standardized implied surprise relative to a frozen consensus/guidance value, with no company-specific thresholds.","This market will resolve to ""Yes"" if CrowdStrike's net new ARR for the first fiscal quarter of 2027, as reported in its official company earnings materials, is above the listed amount. Otherwise, this market will resolve to ""No"". The specified metric will be considered as reported in the company's official earnings materials. Subsequent revisions will not be considered. If the specified company's official earnings...",2026-06-03T16:00:00Z,https://polymarket.com/event/will-crowdstrike-q1-net-new-arr-be-above-225m,,https://gamma-api.polymarket.com/markets/2271190
polymarket-treatment-audit-2026-07-13,Other,2271191,CRWD,Will CrowdStrike Q1 net new ARR be above $250M?,Needs redesign,quarantine,High,company KPI threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,other,earnings-adjacent company KPI,CrowdStrike Q1 net-new ARR distribution,YES bullish,0.95,Higher ARR indicates strong company growth.,Do not make YES automatically bullish. It is bullish only when the threshold is meaningfully above the ex-ante consensus/guidance distribution; an already expected number can be neutral or sell-the-news.,"Combine all sibling thresholds into an implied CDF/expected metric and measure revisions versus consensus, guidance and prior-quarter seasonality.",Enter only when the probability-implied metric meaningfully differs from a timestamped external expectation and the discrepancy survives a pre-specified materiality rule.,Use the exact earnings-release timestamp. For after-close releases the same-day close may be eligible; for pre-open releases the prior close is the endpoint.,One company-quarter-metric event; threshold ladders and dual share classes are not independent observations.,"The edge is the implied metric distribution and its revision, not the binary answer. Threshold ladders such as Robinhood 4.2/4.4M or CrowdStrike 225/250M are especially valuable together.","Use one formula across companies: standardized implied surprise relative to a frozen consensus/guidance value, with no company-specific thresholds.","This market will resolve to ""Yes"" if CrowdStrike's net new ARR for the first fiscal quarter of 2027, as reported in its official company earnings materials, is above the listed amount. Otherwise, this market will resolve to ""No"". The specified metric will be considered as reported in the company's official earnings materials. Subsequent revisions will not be considered. If the specified company's official earnings...",2026-06-03T16:00:00Z,https://polymarket.com/event/will-crowdstrike-q1-net-new-arr-be-above-250m,,https://gamma-api.polymarket.com/markets/2271191
polymarket-treatment-audit-2026-07-13,Other,2036695,AXSM,FDA approves Axsome Therapeutics' AXS-05?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: Axsome Therapeutics' AXS-05,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"As of market creation, the FDA's expected decision date for the specified application is April 30, 2026. This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Axsome Therapeutics's AXS-05 as a treatment for Alzheimer’s disease agitation by May 14, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No."" An approval is defined as: For new drugs: FDA...",2026-04-30T00:00:00Z,https://polymarket.com/event/fda-approves-axsome-therapeutics-axs-05,,https://gamma-api.polymarket.com/markets/2036695
polymarket-treatment-audit-2026-07-13,Other,2115679,AZN,FDA approves Daiichi Sankyo & AstraZeneca's Enhertu?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: Daiichi Sankyo & AstraZeneca's Enhertu,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"As of market creation, the FDA's expected decision date for the specified application is May 18, 2026. This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Daiichi Sankyo & AstraZeneca's Enhertu as a treatment for neoadjuvant treatment of adult patients with HER2-positive breast cancer by June 1, 2026, 11:59 PM ET. Otherwise, this market will resolve to...",2026-05-18T00:00:00Z,https://polymarket.com/event/fda-approves-daiichi-sankyo-astrazenecas-enhertu,,https://gamma-api.polymarket.com/markets/2115679
polymarket-treatment-audit-2026-07-13,Other,569210,IONS,FDA approves Donidalorsen?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: Donidalorsen,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Ionis Pharmaceuticals' and Theratechnologies Inc.'s Donidalorsen as a prophylactic treatment to prevent attacks of hereditary angioedema in adult and pediatric patients 12 years of age and older by August 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No."" An approval is defined as: For...",2025-08-21T16:00:00Z,https://polymarket.com/event/fda-approves-donidalorsen-for-hereditary-angioedema-by-august-31,,https://gamma-api.polymarket.com/markets/569210
polymarket-treatment-audit-2026-07-13,Other,569211,REGN,FDA approves EYLEA HD?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: EYLEA HD,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Regeneron Pharmaceuticals' and Bayer AG's EYLEA HD (aflibercept 8 mg) as a treatment for macular edema following retinal vein occlusion and to expand the dosing schedule to include every 4-week dosing across approved indications by August 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to...",2025-08-19T16:00:00Z,https://polymarket.com/event/fda-approves-eylea-hd-by-august-31,,https://gamma-api.polymarket.com/markets/569211
polymarket-treatment-audit-2026-07-13,Other,569209,TVTX,FDA approves FILSPARI REMS modification?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: FILSPARI REMS modification,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Travere Therapeutics' and Ligand Pharmaceuticals' FILSPARI, requesting modification of the liver monitoring REMS requirement as a treatment for IgA nephropathy (IgAN) by August 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No."" An approval is defined as: For new drugs: FDA issuance of an...",2025-08-28T16:00:00Z,https://polymarket.com/event/fda-approves-filspari-rems-modification-for-igan-by-august-31,,https://gamma-api.polymarket.com/markets/569209
polymarket-treatment-audit-2026-07-13,Other,0x11039e885cdc6019a73715569da44dd3577debdaf54a7a85f107e345dd5cc97d,GILD,FDA approves Gilead’s lenacapavir for treating HIV?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: Gilead’s lenacapavir for treating HIV,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Gilead Sciences’ new biologics license application (BLA) for lenacapavir as a treatment for Human Immunodeficiency Virus (HIV) by June 19, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No."" This market will immediately resolve to ""No"" if the FDA issues a Complete Response Letter (CRL) or...",2025-06-19T00:00:00Z,https://polymarket.com/event/fda-approves-gileads-lenacapavir-for-treating-hiv-human-immunodeficiency-virus/fda-approves-gileads-lenacapavir-for-treating-hiv-human-immunodeficiency-virus,,https://gamma-api.polymarket.com/public-search?q=FDA+approves+Gilead%E2%80%99s+lenacapavir+for+treating+HIV%3F
polymarket-treatment-audit-2026-07-13,Other,1993772,GRCE,FDA approves Grace Therapeutics’ GTx-104?,Mostly correct,primary,Medium,scheduled regulatory decision,probability_revision,False,False,primary,other,scheduled regulatory catalyst,FDA application: Grace Therapeutics’ GTx-104,YES bullish,1.0,automatic FDA-approval rule: YES approval is bullish for the company,"YES approval is bullish in direction, but expected magnitude must be scaled by sponsor exposure, market capitalization, application type and indication materiality.","Use signed probability revisions and time-to-decision hazard, not level alone. Retain the full rules because titles often omit indication, NDA/BLA/supplement type and qualifying outcomes.","Require a versioned application identity and official expected action date; reject if the application, indication or sponsor exposure is ambiguous.",Exit at the last tradable close strictly before the earliest public outcome/announcement timestamp; never use a later nominal deadline after the event is known.,"One application–sponsor economic event. Collapse duplicated rows and sibling markets; in research use one equal event weight, while a strategy may scale exposure ex ante.","Combine probability revision with a general sponsor-exposure score: single-product concentration, estimated indication value relative to market cap, application type and decision-date certainty.",Pre-specify exposure variables and action-date provenance. Never create drug-specific cutoffs after seeing returns.,"As of market creation, the FDA’s expected decision date for the specified application is April 23, 2026. This market will resolve to ""Yes"" if the U.S. Food and Drug Administration (FDA) grants full or conditional approval for Grace Therapeutics’ GTx-104 as a treatment for aneurysmal subarachnoid hemorrhage by May 7, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No."" An approval is defined as: For new drugs:...",2026-04-23T00:00:00Z,https://polymarket.com/event/fda-approves-grace-therapeutics-gtx-104,,https://gamma-api.polymarket.com/markets/1993772
